equipment_id,equipment_type,manufacturer,model,serial_number,purchase_date,warranty_expiration,operating_system,processor,ram_size,last_test_date
35,server,Zoozzy,Dell OptiPlex,ABC123,2/10/2016,10/12/2023,macOS Big Sur,Intel Core i7,32,6/2/2022
36,scanner,Thoughtbridge,Dell OptiPlex,ABC123,4/29/2011,10/2/2023,macOS Big Sur,Qualcomm Snapdragon,10,12/26/2021
37,printer,Tavu,HP EliteBook,ABC123,6/20/2019,3/7/2023,Ubuntu 20.04,AMD Ryzen 5,20,12/15/2022
38,laptop,Meevee,Dell OptiPlex,GHI789,7/26/2018,3/24/2022,Ubuntu 20.04,Qualcomm Snapdragon,14,1/3/2020
39,laptop,Meeveo,Lenovo ThinkCentre,DEF456,10/8/2013,8/30/2024,macOS Big Sur,AMD Ryzen 5,13,1/8/2021
40,laptop,Feedmix,HP EliteBook,GHI789,6/5/2021,11/16/2022,macOS Big Sur,AMD Ryzen 5,20,2/8/2022
41,laptop,Tekfly,Dell OptiPlex,DEF456,12/8/2021,10/31/2022,macOS Big Sur,Qualcomm Snapdragon,18,12/14/2023
42,laptop,Wordtune,HP EliteBook,ABC123,7/31/2014,12/10/2024,Windows 10,Qualcomm Snapdragon,20,9/8/2021
43,server,Devify,HP EliteBook,GHI789,1/29/2021,10/25/2023,macOS Big Sur,AMD Ryzen 5,29,10/16/2021
44,desktop,Dynabox,Dell OptiPlex,DEF456,9/24/2014,9/23/2024,Ubuntu 20.04,Intel Core i7,26,10/4/2022
45,server,Nlounge,HP EliteBook,GHI789,5/16/2010,9/16/2025,macOS Big Sur,AMD Ryzen 5,6,10/3/2021
46,desktop,Livefish,Dell OptiPlex,ABC123,2/20/2015,1/31/2022,Ubuntu 20.04,AMD Ryzen 5,11,10/15/2023
47,printer,Browsebug,Dell OptiPlex,ABC123,7/12/2016,12/15/2025,Windows 10,Qualcomm Snapdragon,29,10/31/2020
48,printer,Thoughtworks,HP EliteBook,GHI789,11/26/2013,11/22/2023,Windows 10,Intel Core i7,7,6/23/2023
49,desktop,Wordify,Lenovo ThinkCentre,ABC123,11/8/2011,5/29/2022,Ubuntu 20.04,Qualcomm Snapdragon,6,12/6/2022
50,desktop,Bluejam,HP EliteBook,DEF456,9/22/2017,6/14/2023,Windows 10,Qualcomm Snapdragon,10,7/16/2020
51,printer,Katz,Dell OptiPlex,DEF456,6/27/2021,5/22/2022,macOS Big Sur,Intel Core i7,4,3/1/2023
52,desktop,Browsebug,HP EliteBook,ABC123,9/30/2014,11/13/2022,Ubuntu 20.04,AMD Ryzen 5,14,12/17/2023
53,laptop,Chatterpoint,Dell OptiPlex,DEF456,8/10/2013,12/5/2025,macOS Big Sur,Qualcomm Snapdragon,11,10/23/2022
54,printer,Oyoyo,Dell OptiPlex,GHI789,12/17/2016,6/10/2022,Ubuntu 20.04,Intel Core i7,11,3/16/2023
55,desktop,Skiba,Lenovo ThinkCentre,ABC123,4/28/2012,8/20/2022,Ubuntu 20.04,Qualcomm Snapdragon,11,1/29/2021
56,scanner,Zoozzy,Dell OptiPlex,DEF456,12/16/2014,12/18/2022,Windows 10,Qualcomm Snapdragon,13,1/22/2022
57,server,Myworks,Dell OptiPlex,DEF456,6/15/2021,4/8/2025,macOS Big Sur,Qualcomm Snapdragon,11,5/19/2023
58,scanner,Kamba,HP EliteBook,GHI789,11/7/2011,11/8/2025,macOS Big Sur,AMD Ryzen 5,6,8/13/2020
59,server,Twinder,Dell OptiPlex,ABC123,11/30/2012,12/6/2023,macOS Big Sur,AMD Ryzen 5,18,2/2/2023
60,laptop,Oodoo,Dell OptiPlex,DEF456,9/5/2017,6/25/2023,macOS Big Sur,Intel Core i7,22,6/14/2020
61,laptop,Kwinu,Lenovo ThinkCentre,ABC123,7/27/2019,11/15/2022,Ubuntu 20.04,Intel Core i7,13,6/25/2021
62,desktop,Twitterbridge,Dell OptiPlex,DEF456,4/27/2014,12/4/2023,Ubuntu 20.04,AMD Ryzen 5,5,11/26/2020
63,scanner,Meemm,Dell OptiPlex,GHI789,5/29/2013,9/26/2024,Windows 10,AMD Ryzen 5,26,3/6/2020
64,desktop,Wordify,Lenovo ThinkCentre,GHI789,10/26/2013,7/6/2023,Ubuntu 20.04,Intel Core i7,8,12/12/2022
65,laptop,Leenti,HP EliteBook,DEF456,2/9/2013,10/26/2024,macOS Big Sur,Qualcomm Snapdragon,13,10/2/2021
66,server,Oyoyo,Lenovo ThinkCentre,ABC123,5/14/2018,6/1/2023,Ubuntu 20.04,Intel Core i7,31,10/7/2022
67,desktop,Rhycero,HP EliteBook,ABC123,11/16/2010,3/9/2025,Ubuntu 20.04,AMD Ryzen 5,19,7/7/2022
68,laptop,Yakidoo,Dell OptiPlex,DEF456,10/2/2011,2/23/2024,macOS Big Sur,Qualcomm Snapdragon,7,12/12/2020
69,scanner,Meemm,Dell OptiPlex,ABC123,6/1/2012,6/22/2025,Ubuntu 20.04,Qualcomm Snapdragon,23,2/27/2022
70,laptop,Meemm,Dell OptiPlex,GHI789,12/10/2012,11/20/2022,Ubuntu 20.04,AMD Ryzen 5,10,8/30/2022
71,laptop,Quatz,Dell OptiPlex,ABC123,10/12/2020,10/24/2025,Windows 10,Intel Core i7,25,11/27/2020
72,printer,Ainyx,Lenovo ThinkCentre,GHI789,12/10/2021,10/28/2022,Ubuntu 20.04,AMD Ryzen 5,4,2/14/2022
73,laptop,Skinder,HP EliteBook,GHI789,10/17/2014,12/22/2022,Windows 10,Intel Core i7,31,4/22/2020
74,desktop,Skyndu,Dell OptiPlex,ABC123,5/10/2014,7/15/2025,Windows 10,Intel Core i7,26,4/6/2020
75,laptop,Twimbo,HP EliteBook,DEF456,10/3/2020,9/25/2022,Ubuntu 20.04,Intel Core i7,28,3/18/2021
76,laptop,Dynazzy,HP EliteBook,ABC123,11/4/2011,10/12/2023,Ubuntu 20.04,Qualcomm Snapdragon,6,2/10/2022
77,laptop,Innojam,HP EliteBook,ABC123,3/12/2012,7/3/2023,macOS Big Sur,Intel Core i7,6,8/1/2020
78,desktop,Tavu,Lenovo ThinkCentre,GHI789,3/27/2021,1/11/2025,Windows 10,AMD Ryzen 5,25,3/19/2023
79,server,Livetube,HP EliteBook,GHI789,10/22/2018,1/12/2024,macOS Big Sur,Qualcomm Snapdragon,27,7/28/2021
80,desktop,Bluezoom,HP EliteBook,DEF456,11/13/2020,1/13/2023,macOS Big Sur,Qualcomm Snapdragon,8,7/10/2023
81,laptop,Fiveclub,Dell OptiPlex,DEF456,7/28/2020,12/19/2022,macOS Big Sur,AMD Ryzen 5,11,1/11/2021
82,desktop,Voomm,HP EliteBook,ABC123,3/30/2017,9/30/2023,Windows 10,Qualcomm Snapdragon,17,4/24/2023
83,laptop,Skaboo,Lenovo ThinkCentre,GHI789,1/14/2017,12/15/2025,Ubuntu 20.04,Intel Core i7,32,10/6/2022
84,server,Rhyzio,Dell OptiPlex,GHI789,8/30/2019,12/30/2025,macOS Big Sur,Intel Core i7,14,6/2/2020
85,scanner,Kazu,HP EliteBook,ABC123,4/3/2013,10/29/2022,Ubuntu 20.04,AMD Ryzen 5,22,1/31/2023
86,printer,Edgewire,HP EliteBook,ABC123,6/7/2018,1/13/2023,Ubuntu 20.04,Intel Core i7,19,12/11/2021
87,server,Thoughtstorm,HP EliteBook,ABC123,7/26/2012,1/31/2024,macOS Big Sur,Intel Core i7,24,11/19/2022
88,scanner,Browsetype,Lenovo ThinkCentre,ABC123,12/29/2010,7/23/2024,Windows 10,AMD Ryzen 5,26,3/30/2021
89,desktop,Kamba,Lenovo ThinkCentre,DEF456,7/26/2015,5/18/2024,Windows 10,Intel Core i7,30,2/11/2021
90,printer,Fivechat,HP EliteBook,DEF456,6/24/2015,7/27/2025,macOS Big Sur,Intel Core i7,25,4/4/2021
91,scanner,Trilith,HP EliteBook,DEF456,2/10/2012,3/26/2023,Ubuntu 20.04,Intel Core i7,21,3/15/2022
92,desktop,Jaxnation,Dell OptiPlex,DEF456,9/16/2015,11/19/2024,macOS Big Sur,Qualcomm Snapdragon,18,10/11/2022
93,desktop,BlogXS,HP EliteBook,ABC123,11/29/2011,9/4/2025,macOS Big Sur,AMD Ryzen 5,21,6/13/2021
94,laptop,Topicware,Lenovo ThinkCentre,GHI789,5/13/2017,7/16/2025,Ubuntu 20.04,AMD Ryzen 5,8,2/1/2020
95,server,Quinu,HP EliteBook,GHI789,6/4/2018,8/5/2022,Ubuntu 20.04,Intel Core i7,14,5/6/2020
96,server,Miboo,HP EliteBook,DEF456,3/8/2014,9/23/2025,Windows 10,AMD Ryzen 5,24,6/26/2022
97,desktop,Quatz,Dell OptiPlex,GHI789,3/25/2010,2/19/2024,Ubuntu 20.04,Qualcomm Snapdragon,32,8/18/2021
98,desktop,Devpoint,HP EliteBook,DEF456,5/5/2015,11/11/2025,macOS Big Sur,Qualcomm Snapdragon,15,12/6/2020
99,printer,Edgetag,HP EliteBook,ABC123,6/22/2016,6/20/2025,macOS Big Sur,AMD Ryzen 5,9,11/12/2022
100,scanner,Youfeed,Dell OptiPlex,DEF456,5/4/2011,5/5/2024,macOS Big Sur,Qualcomm Snapdragon,5,8/9/2021
101,server,Wikido,HP EliteBook,DEF456,8/9/2015,9/11/2023,macOS Big Sur,AMD Ryzen 5,15,4/21/2023
102,printer,Twinte,Dell OptiPlex,ABC123,3/30/2020,6/21/2022,macOS Big Sur,AMD Ryzen 5,30,10/26/2020
103,scanner,Skidoo,Lenovo ThinkCentre,DEF456,3/28/2017,6/10/2025,macOS Big Sur,Qualcomm Snapdragon,28,5/29/2023
104,scanner,Bluejam,Dell OptiPlex,GHI789,10/9/2013,2/29/2024,macOS Big Sur,Intel Core i7,17,4/18/2022
105,printer,Babbleset,Lenovo ThinkCentre,DEF456,3/7/2013,9/23/2023,Ubuntu 20.04,Intel Core i7,5,12/10/2022
106,server,Mudo,Dell OptiPlex,ABC123,5/4/2019,9/4/2024,Ubuntu 20.04,Intel Core i7,20,5/9/2022
107,server,Realcube,Lenovo ThinkCentre,ABC123,6/30/2019,8/28/2022,macOS Big Sur,Intel Core i7,19,8/22/2023
108,laptop,Voonix,Dell OptiPlex,GHI789,3/29/2015,12/22/2023,macOS Big Sur,Intel Core i7,28,8/7/2022
109,scanner,Shuffledrive,HP EliteBook,GHI789,1/11/2014,8/12/2025,macOS Big Sur,AMD Ryzen 5,10,6/23/2022
110,laptop,Devcast,Dell OptiPlex,ABC123,8/12/2017,5/27/2025,macOS Big Sur,Intel Core i7,9,4/6/2021
111,printer,Photobug,Dell OptiPlex,DEF456,8/30/2020,1/9/2025,macOS Big Sur,Qualcomm Snapdragon,10,12/8/2022
112,printer,Realbridge,HP EliteBook,DEF456,10/1/2014,12/7/2022,macOS Big Sur,Intel Core i7,27,1/26/2024
113,laptop,Demizz,Dell OptiPlex,GHI789,12/2/2019,8/2/2022,macOS Big Sur,Qualcomm Snapdragon,7,7/3/2021
114,desktop,Trunyx,Lenovo ThinkCentre,DEF456,8/13/2017,9/20/2024,Ubuntu 20.04,Qualcomm Snapdragon,25,12/16/2023
115,laptop,Divavu,HP EliteBook,ABC123,5/16/2016,11/30/2024,Ubuntu 20.04,Intel Core i7,19,10/15/2023
116,laptop,Browsezoom,Dell OptiPlex,DEF456,5/27/2021,2/11/2025,Ubuntu 20.04,AMD Ryzen 5,27,5/8/2020
117,scanner,Voolia,HP EliteBook,ABC123,6/12/2010,3/7/2024,Ubuntu 20.04,Qualcomm Snapdragon,6,10/22/2020
118,printer,Bubblebox,HP EliteBook,ABC123,4/26/2017,4/18/2024,macOS Big Sur,Intel Core i7,29,9/19/2022
119,server,Yodo,Lenovo ThinkCentre,GHI789,12/13/2013,3/23/2022,macOS Big Sur,Qualcomm Snapdragon,14,6/13/2021
120,printer,Katz,HP EliteBook,ABC123,12/12/2012,11/18/2024,Windows 10,Qualcomm Snapdragon,11,5/5/2023
121,laptop,Browsedrive,Dell OptiPlex,GHI789,5/25/2019,3/24/2022,Windows 10,Qualcomm Snapdragon,10,4/18/2023
122,laptop,Demivee,Lenovo ThinkCentre,ABC123,6/18/2016,11/3/2023,Windows 10,AMD Ryzen 5,27,8/2/2022
123,desktop,Flashset,Dell OptiPlex,ABC123,4/18/2016,11/1/2024,macOS Big Sur,Qualcomm Snapdragon,22,7/27/2023
124,desktop,Tanoodle,HP EliteBook,ABC123,5/24/2018,3/10/2025,macOS Big Sur,AMD Ryzen 5,11,4/26/2020
125,server,Pixoboo,HP EliteBook,GHI789,5/9/2011,7/2/2023,macOS Big Sur,Qualcomm Snapdragon,11,10/1/2022
126,server,Twitternation,HP EliteBook,ABC123,2/9/2013,12/25/2023,Windows 10,AMD Ryzen 5,29,6/20/2022
127,laptop,Devpoint,HP EliteBook,DEF456,4/25/2011,4/26/2023,Windows 10,Qualcomm Snapdragon,11,1/3/2024
128,laptop,Linkbridge,HP EliteBook,ABC123,10/24/2011,10/24/2024,Windows 10,AMD Ryzen 5,32,6/15/2022
129,scanner,Yakijo,Lenovo ThinkCentre,GHI789,12/1/2019,6/11/2022,Ubuntu 20.04,Qualcomm Snapdragon,15,6/13/2023
130,printer,Ooba,Dell OptiPlex,ABC123,6/24/2013,4/9/2022,Windows 10,Intel Core i7,18,9/24/2020
131,laptop,Camimbo,Dell OptiPlex,DEF456,1/8/2014,7/14/2023,Ubuntu 20.04,AMD Ryzen 5,14,1/15/2021
132,laptop,Voolia,Dell OptiPlex,GHI789,5/26/2016,6/4/2023,Windows 10,Intel Core i7,15,6/30/2023
133,desktop,Quamba,HP EliteBook,ABC123,3/4/2012,10/18/2022,Windows 10,AMD Ryzen 5,18,9/13/2020
134,laptop,Shuffletag,Dell OptiPlex,ABC123,3/11/2013,3/6/2024,Windows 10,Intel Core i7,17,8/21/2021
135,server,Jaxspan,HP EliteBook,GHI789,5/11/2012,12/2/2022,macOS Big Sur,Qualcomm Snapdragon,25,9/19/2022
136,scanner,Skiptube,HP EliteBook,DEF456,7/21/2020,3/2/2024,Ubuntu 20.04,Qualcomm Snapdragon,6,6/20/2022
137,desktop,Skyble,HP EliteBook,GHI789,6/28/2012,12/20/2025,Windows 10,Intel Core i7,30,1/26/2022
138,desktop,Muxo,Lenovo ThinkCentre,ABC123,9/7/2019,6/6/2022,macOS Big Sur,Intel Core i7,31,6/21/2021
139,server,Bubblebox,HP EliteBook,DEF456,6/23/2013,9/21/2023,Ubuntu 20.04,Intel Core i7,29,8/4/2021
140,printer,Kazu,Lenovo ThinkCentre,ABC123,9/6/2014,3/8/2023,Windows 10,Intel Core i7,27,5/24/2021
141,server,Vinder,HP EliteBook,GHI789,4/29/2021,9/8/2025,macOS Big Sur,AMD Ryzen 5,31,11/15/2023
142,desktop,Zoombox,HP EliteBook,DEF456,12/6/2013,9/30/2023,Windows 10,Qualcomm Snapdragon,4,9/11/2023
143,desktop,Jaloo,HP EliteBook,ABC123,1/4/2021,11/3/2024,Windows 10,Intel Core i7,5,8/10/2023
144,laptop,Geba,Dell OptiPlex,DEF456,12/10/2013,6/28/2022,Windows 10,Intel Core i7,32,5/22/2022
145,desktop,Centizu,Lenovo ThinkCentre,ABC123,12/2/2017,1/30/2024,macOS Big Sur,Intel Core i7,22,7/12/2021
146,scanner,Demizz,Dell OptiPlex,ABC123,11/3/2018,5/30/2022,macOS Big Sur,AMD Ryzen 5,12,8/5/2023
147,laptop,Shufflebeat,HP EliteBook,DEF456,4/2/2011,4/11/2024,macOS Big Sur,Intel Core i7,23,2/28/2023
148,server,Dabtype,Lenovo ThinkCentre,DEF456,11/23/2011,10/19/2023,macOS Big Sur,Intel Core i7,9,4/30/2021
149,server,Rhyzio,Lenovo ThinkCentre,ABC123,8/6/2018,4/5/2023,macOS Big Sur,Intel Core i7,32,1/28/2020
150,scanner,Youopia,Dell OptiPlex,DEF456,12/29/2012,8/8/2022,Windows 10,Qualcomm Snapdragon,10,6/23/2021
151,laptop,Photobean,Dell OptiPlex,DEF456,12/26/2019,5/9/2024,Ubuntu 20.04,Qualcomm Snapdragon,11,12/31/2022
152,scanner,Teklist,HP EliteBook,ABC123,10/29/2013,2/25/2023,Windows 10,Qualcomm Snapdragon,27,11/27/2022
153,printer,Edgepulse,Lenovo ThinkCentre,ABC123,3/18/2011,12/26/2022,macOS Big Sur,Qualcomm Snapdragon,28,2/6/2024
154,scanner,Mydo,HP EliteBook,DEF456,12/31/2017,5/23/2022,Windows 10,AMD Ryzen 5,5,2/1/2023
155,printer,Zoonoodle,Lenovo ThinkCentre,DEF456,3/1/2015,9/20/2022,Ubuntu 20.04,AMD Ryzen 5,16,5/29/2020
156,scanner,Livetube,Lenovo ThinkCentre,ABC123,1/15/2020,8/10/2025,macOS Big Sur,Qualcomm Snapdragon,11,6/8/2023
157,desktop,Dablist,HP EliteBook,ABC123,2/12/2018,12/4/2023,Windows 10,AMD Ryzen 5,17,11/23/2020
158,printer,Avamm,Lenovo ThinkCentre,ABC123,2/3/2016,9/11/2023,Ubuntu 20.04,Intel Core i7,12,11/20/2021
159,server,Buzzbean,HP EliteBook,DEF456,5/27/2010,7/14/2022,macOS Big Sur,AMD Ryzen 5,18,8/27/2022
160,printer,Lazzy,HP EliteBook,GHI789,3/8/2011,5/5/2024,Ubuntu 20.04,AMD Ryzen 5,26,9/4/2022
161,laptop,Zoozzy,Lenovo ThinkCentre,DEF456,8/12/2019,5/31/2022,Windows 10,AMD Ryzen 5,18,10/19/2023
162,desktop,Centimia,HP EliteBook,ABC123,8/7/2014,2/29/2024,macOS Big Sur,AMD Ryzen 5,32,6/26/2020
163,scanner,Vitz,Dell OptiPlex,ABC123,12/6/2015,2/16/2024,macOS Big Sur,AMD Ryzen 5,25,6/17/2020
164,server,Devcast,Lenovo ThinkCentre,ABC123,10/30/2014,6/13/2023,Windows 10,Qualcomm Snapdragon,5,10/10/2023
165,desktop,Twinte,Dell OptiPlex,DEF456,2/4/2016,12/29/2023,macOS Big Sur,Qualcomm Snapdragon,22,2/8/2021
166,laptop,Nlounge,Dell OptiPlex,GHI789,2/20/2013,8/4/2022,Ubuntu 20.04,Intel Core i7,4,11/29/2023
167,server,Thoughtbridge,Dell OptiPlex,ABC123,6/25/2018,3/8/2023,Windows 10,Qualcomm Snapdragon,27,7/31/2020
168,desktop,Divavu,HP EliteBook,GHI789,12/14/2019,11/16/2024,Windows 10,AMD Ryzen 5,13,8/22/2022
169,laptop,Twimbo,Dell OptiPlex,ABC123,6/12/2013,11/14/2025,Windows 10,Intel Core i7,15,8/6/2020
170,scanner,Buzzbean,HP EliteBook,GHI789,12/20/2012,7/2/2023,Ubuntu 20.04,AMD Ryzen 5,16,10/28/2022
171,printer,Yadel,Lenovo ThinkCentre,DEF456,12/13/2010,10/3/2025,macOS Big Sur,Intel Core i7,27,9/18/2023
172,laptop,Edgewire,Dell OptiPlex,GHI789,1/15/2014,9/24/2022,Ubuntu 20.04,AMD Ryzen 5,13,9/28/2021
173,printer,Katz,Dell OptiPlex,DEF456,4/23/2015,12/24/2022,macOS Big Sur,AMD Ryzen 5,5,5/1/2023
174,server,Skyvu,Lenovo ThinkCentre,ABC123,8/7/2020,1/28/2024,Ubuntu 20.04,Qualcomm Snapdragon,15,12/19/2022
175,laptop,Devpulse,Dell OptiPlex,GHI789,12/6/2019,2/19/2025,Ubuntu 20.04,Intel Core i7,8,3/18/2022
176,printer,Twitterwire,Lenovo ThinkCentre,GHI789,4/27/2015,6/12/2025,Ubuntu 20.04,AMD Ryzen 5,16,1/13/2021
177,server,Realfire,HP EliteBook,DEF456,11/11/2011,4/27/2023,Ubuntu 20.04,Intel Core i7,21,11/28/2020
178,desktop,Skiptube,Dell OptiPlex,ABC123,3/25/2018,8/14/2025,Ubuntu 20.04,Intel Core i7,13,9/9/2021
179,printer,Riffpedia,Lenovo ThinkCentre,DEF456,5/7/2010,6/19/2024,Windows 10,Qualcomm Snapdragon,22,12/20/2020
180,server,Eadel,HP EliteBook,GHI789,10/21/2019,7/19/2023,Ubuntu 20.04,AMD Ryzen 5,29,2/27/2021
181,desktop,Lazz,Lenovo ThinkCentre,ABC123,10/27/2021,9/7/2025,Ubuntu 20.04,Intel Core i7,27,10/21/2023
182,scanner,Plambee,Lenovo ThinkCentre,GHI789,3/21/2012,7/22/2023,macOS Big Sur,Qualcomm Snapdragon,18,9/22/2022
183,server,Trilith,HP EliteBook,GHI789,10/13/2021,4/14/2023,Ubuntu 20.04,Intel Core i7,15,4/14/2023
184,desktop,Devbug,HP EliteBook,DEF456,3/17/2012,10/1/2025,Windows 10,AMD Ryzen 5,16,11/1/2021
185,server,Pixoboo,HP EliteBook,DEF456,12/29/2016,2/1/2025,Ubuntu 20.04,Intel Core i7,18,4/26/2023
186,desktop,Twiyo,Lenovo ThinkCentre,GHI789,1/10/2014,3/11/2025,Windows 10,Intel Core i7,8,10/28/2022
187,desktop,Meejo,HP EliteBook,ABC123,9/11/2013,4/29/2022,macOS Big Sur,Intel Core i7,25,11/18/2021
188,printer,Tekfly,HP EliteBook,DEF456,2/4/2014,6/10/2022,Ubuntu 20.04,AMD Ryzen 5,8,8/8/2022
189,laptop,Fliptune,HP EliteBook,DEF456,10/6/2018,10/16/2023,macOS Big Sur,AMD Ryzen 5,17,3/5/2022
190,printer,Demivee,HP EliteBook,GHI789,7/16/2011,1/25/2025,Windows 10,Qualcomm Snapdragon,12,4/3/2023
191,server,Ooba,Dell OptiPlex,GHI789,4/21/2020,9/14/2022,macOS Big Sur,Qualcomm Snapdragon,8,11/10/2020
192,laptop,Agimba,Lenovo ThinkCentre,ABC123,10/10/2017,5/13/2025,macOS Big Sur,Qualcomm Snapdragon,26,12/5/2021
193,desktop,Buzzbean,Lenovo ThinkCentre,ABC123,12/4/2020,5/1/2022,Windows 10,AMD Ryzen 5,13,2/5/2022
194,desktop,Voomm,HP EliteBook,ABC123,12/2/2010,5/20/2024,macOS Big Sur,Qualcomm Snapdragon,14,10/26/2022
195,printer,Jatri,HP EliteBook,ABC123,12/16/2020,4/20/2024,Windows 10,AMD Ryzen 5,32,5/8/2022
196,printer,Wikivu,HP EliteBook,GHI789,3/20/2010,7/6/2025,Ubuntu 20.04,Qualcomm Snapdragon,8,1/20/2022
197,laptop,Kwilith,Lenovo ThinkCentre,ABC123,11/22/2013,2/2/2025,Windows 10,Intel Core i7,4,12/1/2023
198,scanner,Oyondu,HP EliteBook,DEF456,11/9/2019,1/14/2025,macOS Big Sur,Qualcomm Snapdragon,20,2/21/2022
199,desktop,Skilith,Lenovo ThinkCentre,ABC123,6/25/2015,11/12/2024,Windows 10,Intel Core i7,25,12/14/2023
200,laptop,Realbuzz,HP EliteBook,DEF456,6/8/2018,7/7/2025,Windows 10,Intel Core i7,27,7/15/2022
201,server,Kwideo,HP EliteBook,GHI789,2/1/2014,10/17/2022,macOS Big Sur,Intel Core i7,16,6/24/2023
202,laptop,Tambee,Dell OptiPlex,DEF456,10/30/2011,10/30/2025,Windows 10,AMD Ryzen 5,4,5/18/2023
